Hotel_Name,Location,Price,Sharing,Facilities,Review,Riview_count,star_count
Treebo De Alphabet Kondapur,Hyderabad,"9,938","2 nights, 2 adults",Standard Double Room,7.3,127,3.0
Trident Hyderabad,"HITEC City, Hyderabad","28,000","2 nights, 2 adults",Deluxe City View Room Twin Bed,9.2,1264,5.0
Wild Wings Premium Hotel,"Gachibowli, Hyderabad","5,998","2 nights, 2 adults",Double Room,8.4,733,3.0
"Vivanta Hyderabad, Begumpet","Begumpet, Hyderabad","17,000","2 nights, 2 adults",Superior Twin Room,8.4,1910,5.0
Fairfield by Marriott Hyderabad Gachibowli,"Gachibowli, Hyderabad","16,998","2 nights, 2 adults","Superior Room, 2 Twin/Single Bed(s), City View",7.4,1088,4.0
Taj Deccan,Hyderabad,"26,082","2 nights, 2 adults",Superior Twin Room,8.1,866,5.0
New Hotel Suhail,Hyderabad,"4,992","2 nights, 2 adults",King Studio,7.6,315,
Hyatt Place Hyderabad Banjara Hills,Hyderabad,"15,998","2 nights, 2 adults",Twin Room,7.8,1285,5.0
"Mercure Hyderabad KCP Banjara Hills, An Accor Hotel",Hyderabad,"16,500","2 nights, 2 adults","Superior Room with one queen size bed,City View ",8.2,1084,5.0
Novotel Hyderabad Convention Centre,"HITEC City, Hyderabad","19,475","2 nights, 2 adults",Superior 1 Queen Bed with 20% Discount on Travel Desk,7.7,894,5.0
Taj Krishna,Hyderabad,"33,750","2 nights, 2 adults",Luxury Room City View Twin Bed,8.3,1096,5.0
FabExpress Broholic Suites - Nr JNTU - Jawaharlal Nehru Technological University,"Kukatpally, Hyderabad","2,673","2 nights, 2 adults",Deluxe Room,8.8,1025,3.0
"ITC Kohenur, a Luxury Collection Hotel, Hyderabad","HITEC City, Hyderabad","43,000","2 nights, 2 adults",Executive Club,8.1,768,5.0
The Landmark Banjara Hills - Hyderabad,Hyderabad,"4,800","2 nights, 2 adults",Superior Double or Twin Room,7.4,320,4.0
"Itsy Hotels Infinity, Hitech City","HITEC City, Hyderabad","7,898","2 nights, 2 adults",Standard Double Room,6.9,219,3.0
1 Room for 4 Guests OR 2 BHK for 4 to 10 Guests with AC for Families,Hyderabad,"3,800","2 nights, 2 adults",Quadruple Room with Private External Bathroom,8.8,67,
Radisson Blu Plaza Hotel Hyderabad Banjara Hills,Hyderabad,"19,750","2 nights, 2 adults",Deluxe Double or Twin Room,7.8,2146,5.0
"ITC Kakatiya, a Luxury Collection Hotel, Hyderabad","Begumpet, Hyderabad","24,150","2 nights, 2 adults",Executive Club,7.7,465,5.0
FabHotel Pride Inn - HITECH CITY,"HITEC City, Hyderabad","4,780","2 nights, 2 adults",Superior Double Room,8.1,545,3.0
Super Collection O Shamshabad,Hyderabad,"1,442","2 nights, 2 adults",Classic Triple Room,7.0,117,4.0
Super Hotel O Madhapur VIP Hills,"HITEC City, Hyderabad","2,233","2 nights, 2 adults",Classic Triple Room,5.5,44,4.0
Hotel Imperial Classic,Hyderabad,"3,500","2 nights, 2 adults",Executive Double Room,7.3,167,3.0
The Purple Leaf Hotels,Hyderabad,"6,500","2 nights, 2 adults",Deluxe Double or Twin Room,7.2,200,3.0
The Golkonda Hotel,Hyderabad,"15,448","2 nights, 2 adults",Premium Twin Room ,7.3,1054,4.0
FabHotel Royal Residency II - Nr Metro Station Lakdikapul,Hyderabad,"4,190","2 nights, 2 adults",Deluxe Double Room,7.7,1321,3.0
