Hotel_Name,Location,Price,Sharing,Facilities,Review,Riview_count,star_count
Itsy Hotels Shree Comforts,"HSR Layout, Bangalore","3,037","2 nights, 2 adults",[Sanitized] Standard Double Room,7.3,84.0,3.0
The Leela Bhartiya City Bengaluru,Bangalore,"23,500","2 nights, 2 adults",Deluxe Room,9.0,676.0,5.0
Olive Zip Kalyan Nagar by Embassy Group,"Kalyan Nagar, Bangalore","3,562","2 nights, 2 adults",Standard Double Room,7.3,464.0,4.0
Olive Hotel Indiranagar by Embassy Group,"Indiranagar, Bangalore","5,656","2 nights, 2 adults",Budget Double Room,7.6,1403.0,3.0
Radisson Blu Atria Bengaluru,Bangalore,"15,900","2 nights, 2 adults",Superior Room,8.0,1712.0,5.0
Goldfinch Hotel Bangalore,"Gandhi nagar, Bangalore","7,998","2 nights, 2 adults",Superior Room,7.6,356.0,4.0
Citadel Sarovar Portico Bengaluru,"Gandhi nagar, Bangalore","9,000","2 nights, 2 adults",Executive Double Room,6.6,295.0,4.0
The Chancery Pavilion,Bangalore,"10,002","2 nights, 2 adults",Superior Room,7.0,717.0,5.0
Elite Banquet,"JP Nagar, Bangalore","1,800","2 nights, 2 adults",Double Room,,,
"Holiday Inn Bengaluru Racecourse, an IHG Hotel","Gandhi nagar, Bangalore","11,304","2 nights, 2 adults",Standard Room,7.5,1304.0,5.0
RK - Inn Premium Suites,"Bommasandra, Bangalore","4,000","2 nights, 2 adults",Family Room with Balcony,7.8,72.0,
ibis Bengaluru City Centre - An Accor Brand,Bangalore,"9,999","2 nights, 2 adults",Standard Queen Room,7.0,1478.0,4.0
Treebo Trinitywood,"Ulsoor, Bangalore","3,177","2 nights, 2 adults",Standard Double Room,6.8,202.0,3.0
Narthaki Boutique Hotel,"Gandhi nagar, Bangalore","5,600","2 nights, 2 adults",Deluxe Room,8.3,363.0,3.0
HOTEL SKY BLUE AND SUITEs,Bangalore,"2,790","2 nights, 2 adults",Budget Double Room,9.1,10.0,5.0
Itsy Hotels Purple Suites,"Koramangala, Bangalore","2,598","2 nights, 2 adults",Double Room,7.2,268.0,3.0
Hyatt Centric MG Road Bangalore,"Ulsoor, Bangalore","17,080","2 nights, 2 adults",King Room,7.7,1169.0,5.0
Mystic Hotel Koramangala,"Koramangala, Bangalore","4,398","2 nights, 2 adults",King Room,7.3,10.0,3.0
BNGV Mystic Premier Hotel,"Koramangala, Bangalore","6,160","2 nights, 2 adults",Deluxe King Room,5.9,628.0,4.0
"Holiday Inn Express Bengaluru Yeshwantpur, an IHG Hotel","Yeshwantpur, Bangalore","6,208","2 nights, 2 adults",Standard Room,6.5,822.0,3.0
Olive Zip Btm Layout by Embassy Group,"BTM Layout, Bangalore","4,982","2 nights, 2 adults",Standard Double Room,7.7,438.0,3.0
Treebo Zion,"Jayanagar, Bangalore","2,847","2 nights, 2 adults",Standard Double Room,7.2,218.0,3.0
Olive Zip Indiranagar Metro by Embassy Group,"Indiranagar, Bangalore","6,400","2 nights, 2 adults",Executive Queen,8.0,294.0,
Hotel Pawan Sree,"Gandhi nagar, Bangalore","2,400","2 nights, 2 adults",Double Room,,,
Seasons Suites Koramangala,"Koramangala, Bangalore","6,161","2 nights, 2 adults",King Room,7.6,37.0,3.0
Treebo Savoury Sea Shell Residency,Bangalore,"2,556","2 nights, 2 adults",Standard Double Room,6.2,133.0,3.0
