Hotel_Name,Location,Price,Sharing,Facilities,Review,Riview_count,star_count
Gokulam Park Sabari-Siruseri SIPCOT,"Old Mahabalipuram Road, Chennai","5,000","2 nights, 2 adults",Deluxe Twin Room with Free Drop to Sipcot IT Park,7.6,62.0,3.0
The Leela Palace Chennai,"South Chennai, Chennai","45,090","2 nights, 2 adults",Deluxe Pool View Room ,8.9,2373.0,5.0
Citadines OMR Chennai,"Sholinganallur, Chennai","11,400","2 nights, 2 adults",Studio Deluxe,8.4,2199.0,5.0
ibis Chennai City Centre - An Accor Brand,"Central Chennai, Chennai","9,998","2 nights, 2 adults",Standard Room Queen Bed,6.9,1620.0,3.0
Grand Silver,"Central Chennai, Chennai","5,218","2 nights, 2 adults",Double Room,8.6,29.0,
Novotel Chennai Sipcot,"SIPCOT IT Park, Chennai","9,698","2 nights, 2 adults",Superior Room - King Bed						,8.1,1301.0,5.0
Raj Park Hotel Chennai,"Central Chennai, Chennai","8,593","2 nights, 2 adults",Deluxe Double or Twin Room,6.2,304.0,4.0
FabExpress PAS Residency - Nr Marina Beach & Mahatma Gandhi Monument,"Mylapore, Chennai","3,209","2 nights, 2 adults",Deluxe Room,7.8,1844.0,3.0
Super Townhouse G SILVER HOTELS NEAR US BIOMETRIC,"Nungambakkam, Chennai","3,333","2 nights, 2 adults",Deluxe Triple Room,7.3,593.0,4.0
ibis Chennai Sipcot - An Accor Brand,"SIPCOT IT Park, Chennai","6,000","2 nights, 2 adults",Standard Room Queen Bed,7.2,1564.0,3.0
Super Hotel O Park Town Near Nehru Stadium,"Central Chennai, Chennai","2,198","2 nights, 2 adults",Standard Double Room,7.5,232.0,4.0
Palette - The Slate Hotel Nungambakkam,"Central Chennai, Chennai","9,771","2 nights, 2 adults",Deluxe Triple Room,7.7,444.0,5.0
Treebo Eco Stay T Nagar,"T - Nagar, Chennai","3,980","2 nights, 2 adults",Standard Double Room,6.7,62.0,3.0
Mitra Inn Serviced Apartment,"Central Chennai, Chennai","2,100","2 nights, 2 adults",Apartment,,,
"Holiday Inn Express Chennai OMR Thoraipakkam, an IHG Hotel","Thoraipakkam, Chennai","6,888","2 nights, 2 adults",Standard Queen Room,6.2,959.0,4.0
Esakki Empire,"Central Chennai, Chennai","4,000","2 nights, 2 adults",Deluxe Double Room,8.6,92.0,3.0
44 Oasis,"T - Nagar, Chennai","8,080","2 nights, 2 adults",Executive Twin Room,7.9,162.0,3.0
Treebo Pechis Castle,"Nungambakkam, Chennai","5,790","2 nights, 2 adults",[Sanitized] Standard Double or Twin Room,7.6,235.0,3.0
La Woods Hotel,"Central Chennai, Chennai","7,301","2 nights, 2 adults",Executive Double or Twin Room,7.4,173.0,3.0
"Lloyds Serviced Apartments, Near Music Academy","Central Chennai, Chennai","4,400","2 nights, 2 adults",Deluxe Double Room,7.6,203.0,
SUPREME STAY,"Triplicane, Chennai","3,824","2 nights, 2 adults",Deluxe Double Room,7.6,423.0,2.0
GRAND ONE TOWER,"Central Chennai, Chennai","5,940","2 nights, 2 adults",Budget Double Room,7.4,71.0,3.0
Park Avenue Hotel Nungambakkam,"Nungambakkam, Chennai","8,999","2 nights, 2 adults",Premium Room,7.0,619.0,3.0
Collection O Mahaballipuram,Chennai,"2,517","2 nights, 2 adults",Classic Triple Room,9.1,137.0,4.0
The Hydel Park - Business Class Hotel - Near Central Railway Station,"Central Chennai, Chennai","5,002","2 nights, 2 adults",Deluxe Double Room,8.2,620.0,
Treebo Vetri Supreme Residency,"T - Nagar, Chennai","3,878","2 nights, 2 adults",Double Room,6.1,104.0,3.0
