Hotel_Name,Location,Price,Sharing,Facilities,Review,Riview_count,star_count
"Treebo Usha Vasivi Alipiri Road, 2 Km From Tirupati Central Bus Station",Tirupati,"4,289","2 nights, 2 adults",Standard Double Room,7.5,55.0,3.0
Treebo Sripadha Residency Alipiri Road,Tirupati,"3,646","2 nights, 2 adults",Standard Double Room,7.1,541.0,3.0
Golden Tulip Tirupati,Tirupati,"7,998","2 nights, 2 adults",Deluxe Double Room,7.9,157.0,4.0
Collection O Tirumala Road Near Alipiri,Tirupati,"1,447","2 nights, 2 adults",Classic Triple Room,9.0,2.0,
Marasa Sarovar Premiere,Tirupati,"13,950","2 nights, 2 adults",Deluxe Room 2 Single Beds,7.7,1361.0,5.0
KVP GOLDEN INN,Tirupati,"5,994","2 nights, 2 adults",Deluxe Double Room,7.7,168.0,3.0
"Fortune Select Grand Ridge, Tirupati - Member ITC Hotels' Group",Tirupati,"16,380","2 nights, 2 adults",Deluxe Room ,8.1,1478.0,5.0
PS Elite Homestay,Tirupati,"1,300","2 nights, 2 adults",Budget Double Room,,,
Treebo Sls Grand,Tirupati,"2,736","2 nights, 2 adults",[Sanitized] Standard Double or Twin Room,6.8,603.0,3.0
Purvi Home Stay,Tirupati,"3,839","2 nights, 2 adults",One-Bedroom Apartment,,,
Raj Park- Hill View,Tirupati,"7,589","2 nights, 2 adults",Superior Double or Twin Room,7.0,596.0,3.0
Hotel JANAS,Tirupati,"4,920","2 nights, 2 adults",Deluxe King Room,8.3,262.0,3.0
Itsy Hotels Riyas Grand,Tirupati,"3,337","2 nights, 2 adults",[Sanitized] Standard Double Room,7.0,406.0,3.0
Ekante Bliss Tirupati - IHCL SeleQtions,Tirupati,"11,480","2 nights, 2 adults",Superior Room king bed,8.0,218.0,4.0
Treebo Seven Inn,Tirupati,"4,105","2 nights, 2 adults",Standard Double Room,8.1,288.0,3.0
annamaiah guest house,Tirupati,"1,610","2 nights, 2 adults",Standard Triple Room,6.7,31.0,
Sunrise Home Stay,Tirupati,"3,230","2 nights, 2 adults",Two-Bedroom Apartment,10.0,2.0,
"Olive Nest- Tirupati Bus Stand- 300 Meters, Railway Station- 400 Meters",Tirupati,"4,420","2 nights, 2 adults",Standard Double Room,8.7,18.0,3.0
KVP Inn,Tirupati,"2,250","2 nights, 2 adults",Standard Double Room with Fan,6.7,344.0,2.0
"Deccan Suites, Tirupati",Tirupati,"7,200","2 nights, 2 adults",Deluxe Triple Room,8.5,641.0,2.0
HOTEL DKR GRAND,Tirupati,"3,983","2 nights, 2 adults",Deluxe Room,8.2,99.0,2.0
Urban Nest Homestay,Tirupati,"3,998","2 nights, 2 adults",One-Bedroom Apartment,9.5,22.0,
Hotel O Jayam Residency,Tirupati,"1,644","2 nights, 2 adults",Classic Triple Room,5.6,42.0,4.0
SGS Residency,Tirupati,"1,998","2 nights, 2 adults",Deluxe Double Room,4.9,291.0,
Hotel Bhimas Paradise,Tirupati,"6,948","2 nights, 2 adults",Superior Double Room,6.0,292.0,2.0
